rho_sim,scaled_rho_sim,theta_sim,genome_size_sim,sample_size_sim,seed_sim,max_rho,max_lk
0.01,5.0,0.01,10000.0,10.0,123.0,3.000,-462202.250
0.025,12.5,0.01,10000.0,10.0,123.0,8.000,-711741.441
0.05,25.0,0.01,10000.0,10.0,123.0,27.000,-655883.416
0.075,37.5,0.01,10000.0,10.0,123.0,47.000,-739027.463
0.1,50.0,0.01,10000.0,10.0,123.0,42.000,-534439.920
0.01,5.0,0.01,25000.0,10.0,123.0,3.000,-3534477.604
0.025,12.5,0.01,25000.0,10.0,123.0,9.000,-4232880.948
0.05,25.0,0.01,25000.0,10.0,123.0,22.000,-4554806.982
0.075,37.5,0.01,25000.0,10.0,123.0,38.000,-4250948.390
0.1,50.0,0.01,25000.0,10.0,123.0,47.000,-3731795.202
0.01,5.0,0.01,50000.0,10.0,123.0,2.000,-14123229.697
0.025,12.5,0.01,50000.0,10.0,123.0,7.000,-16320544.274
0.05,25.0,0.01,50000.0,10.0,123.0,23.000,-17921732.821
0.075,37.5,0.01,50000.0,10.0,123.0,35.000,-18156436.001
0.1,50.0,0.01,50000.0,10.0,123.0,49.000,-15933132.112
0.01,5.0,0.01,75000.0,10.0,123.0,2.000,-31613623.081
0.025,12.5,0.01,75000.0,10.0,123.0,9.000,-36869291.290
0.05,25.0,0.01,75000.0,10.0,123.0,23.000,-39740033.196
0.075,37.5,0.01,75000.0,10.0,123.0,33.000,-38872898.043
0.1,50.0,0.01,75000.0,10.0,123.0,50.000,-36411535.317
0.01,5.0,0.01,100000.0,10.0,123.0,3.000,-58206044.361
0.025,12.5,0.01,100000.0,10.0,123.0,10.000,-65629397.392
0.05,25.0,0.01,100000.0,10.0,123.0,24.000,-69449668.689
0.075,37.5,0.01,100000.0,10.0,123.0,34.000,-70135162.710
0.1,50.0,0.01,100000.0,10.0,123.0,50.000,-65467006.054
0.01,5.0,0.01,10000.0,10.0,456.0,3.000,-608395.554
0.025,12.5,0.01,10000.0,10.0,456.0,6.000,-616719.257
0.05,25.0,0.01,10000.0,10.0,456.0,13.000,-643987.845
0.075,37.5,0.01,10000.0,10.0,456.0,11.000,-583509.203
0.1,50.0,0.01,10000.0,10.0,456.0,9.000,-528149.697
0.01,5.0,0.01,25000.0,10.0,456.0,3.000,-3498194.691
0.025,12.5,0.01,25000.0,10.0,456.0,6.000,-4134867.188
0.05,25.0,0.01,25000.0,10.0,456.0,10.000,-3484933.720
0.075,37.5,0.01,25000.0,10.0,456.0,11.000,-3910557.549
0.1,50.0,0.01,25000.0,10.0,456.0,12.000,-4177979.054
0.01,5.0,0.01,50000.0,10.0,456.0,3.000,-14989372.935
0.025,12.5,0.01,50000.0,10.0,456.0,5.000,-16722898.789
0.05,25.0,0.01,50000.0,10.0,456.0,10.000,-14876005.682
0.075,37.5,0.01,50000.0,10.0,456.0,11.000,-16653629.476
0.1,50.0,0.01,50000.0,10.0,456.0,14.000,-17371106.817
0.01,5.0,0.01,75000.0,10.0,456.0,3.000,-35352806.932
0.025,12.5,0.01,75000.0,10.0,456.0,6.000,-36764048.914
0.05,25.0,0.01,75000.0,10.0,456.0,10.000,-34888055.596
0.075,37.5,0.01,75000.0,10.0,456.0,11.000,-39387014.286
0.1,50.0,0.01,75000.0,10.0,456.0,14.000,-39576362.110
0.01,5.0,0.01,100000.0,10.0,456.0,3.000,-62830838.227
0.025,12.5,0.01,100000.0,10.0,456.0,6.000,-68670837.459
0.05,25.0,0.01,100000.0,10.0,456.0,10.000,-62833589.499
0.075,37.5,0.01,100000.0,10.0,456.0,11.000,-68511999.800
0.1,50.0,0.01,100000.0,10.0,456.0,13.000,-72351855.522
0.01,5.0,0.01,10000.0,10.0,789.0,2.000,-603210.280
0.025,12.5,0.01,10000.0,10.0,789.0,6.000,-637459.551
0.05,25.0,0.01,10000.0,10.0,789.0,10.000,-669365.250
0.075,37.5,0.01,10000.0,10.0,789.0,13.000,-577081.253
0.1,50.0,0.01,10000.0,10.0,789.0,19.000,-722697.642
0.01,5.0,0.01,25000.0,10.0,789.0,3.000,-3934858.853
0.025,12.5,0.01,25000.0,10.0,789.0,5.000,-4587494.450
0.05,25.0,0.01,25000.0,10.0,789.0,12.000,-4393410.552
0.075,37.5,0.01,25000.0,10.0,789.0,16.000,-4073489.329
0.1,50.0,0.01,25000.0,10.0,789.0,20.000,-4572458.010
0.01,5.0,0.01,50000.0,10.0,789.0,3.000,-15254652.428
0.025,12.5,0.01,50000.0,10.0,789.0,6.000,-17245845.579
0.05,25.0,0.01,50000.0,10.0,789.0,11.000,-16502032.628
0.075,37.5,0.01,50000.0,10.0,789.0,13.000,-16299278.147
0.1,50.0,0.01,50000.0,10.0,789.0,15.000,-17245913.703
0.01,5.0,0.01,75000.0,10.0,789.0,3.000,-35764980.658
0.025,12.5,0.01,75000.0,10.0,789.0,6.000,-37469215.135
0.05,25.0,0.01,75000.0,10.0,789.0,11.000,-35276818.294
0.075,37.5,0.01,75000.0,10.0,789.0,14.000,-37241220.806
0.1,50.0,0.01,75000.0,10.0,789.0,15.000,-38723128.212
0.01,5.0,0.01,100000.0,10.0,789.0,3.000,-66825450.822
0.025,12.5,0.01,100000.0,10.0,789.0,5.000,-66696618.574
0.05,25.0,0.01,100000.0,10.0,789.0,11.000,-63646762.570
0.075,37.5,0.01,100000.0,10.0,789.0,13.000,-64961398.007
0.1,50.0,0.01,100000.0,10.0,789.0,15.000,-68152489.334
